iter	Passed	Remaining
0	1	124
1	2	111
2	3	104
3	3	95
4	4	91
5	5	88
6	6	85
7	7	83
8	8	82
9	8	80
10	9	78
11	10	77
12	11	75
13	12	75
14	13	75
15	14	75
16	15	75
17	16	74
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	78	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
