iter	Passed	Remaining
0	139	139037
1	143	71439
2	151	50366
3	155	38790
4	161	32079
5	164	27317
6	175	24835
7	177	22041
8	180	19855
9	182	18105
10	184	16606
11	187	15420
12	188	14349
13	190	13398
14	191	12588
15	192	11859
16	194	11219
17	195	10642
18	196	10122
19	197	9653
20	197	9229
21	200	8898
22	201	8546
23	202	8215
24	202	7909
25	203	7627
26	204	7366
27	205	7124
28	206	6899
29	206	6688
30	207	6492
31	208	6306
32	209	6132
33	210	5969
34	210	5814
35	211	5668
36	212	5529
37	214	5441
38	215	5316
39	216	5197
40	217	5083
41	218	4976
42	218	4873
43	219	4776
44	220	4683
45	221	4593
46	222	4507
47	223	4425
48	224	4347
49	224	4273
50	225	4201
51	226	4131
52	228	4079
53	229	4019
54	230	3959
55	231	3902
56	232	3845
57	233	3791
58	234	3741
59	235	3687
60	236	3635
61	236	3585
62	237	3537
63	238	3489
64	239	3444
65	240	3400
66	241	3356
67	241	3315
68	243	3289
69	244	3250
70	245	3211
71	246	3174
72	247	3137
73	247	3101
74	248	3067
75	249	3033
76	250	2999
77	251	2967
78	251	2936
79	252	2905
80	253	2875
81	254	2846
82	254	2814
83	255	2786
84	256	2759
85	258	2743
86	259	2718
87	259	2693
88	260	2668
89	261	2643
90	262	2620
91	263	2597
92	264	2574
93	264	2552
94	265	2530
95	266	2509
96	267	2488
97	268	2467
98	268	2447
99	269	2427
100	270	2408
101	271	2389
102	273	2380
103	274	2363
104	275	2345
105	275	2327
106	276	2310
107	277	2293
108	278	2276
109	279	2259
110	280	2243
111	280	2227
112	281	2211
113	282	2195
114	283	2180
115	284	2164
116	284	2149
117	285	2134
118	286	2120
119	288	2113
120	289	2100
121	289	2085
122	290	2072
123	291	2059
124	292	2046
125	293	2033
126	293	2019
127	294	2006
128	295	1994
129	296	1982
130	296	1969
131	297	1958
132	298	1946
133	299	1934
134	300	1923
135	300	1912
136	301	1902
137	303	1895
138	304	1886
139	305	1875
140	306	1865
141	306	1853
142	307	1843
143	308	1834
144	309	1825
145	310	1816
146	311	1807
147	312	1798
148	313	1788
149	314	1779
150	314	1770
151	315	1762
152	318	1760
153	319	1753
154	320	1745
155	321	1737
156	322	1729
157	323	1722
158	324	1713
159	324	1705
160	325	1695
161	326	1687
162	327	1679
163	327	1671
164	328	1663
165	329	1655
166	330	1647
167	331	1641
168	332	1637
169	333	1629
170	334	1622
171	335	1615
172	336	1609
173	337	1602
174	338	1596
175	339	1589
176	340	1581
177	340	1574
178	341	1567
179	342	1560
180	343	1554
181	344	1547
182	345	1541
183	346	1538
184	347	1533
185	348	1527
186	350	1522
187	351	1516
188	351	1510
189	352	1503
190	353	1497
191	354	1491
192	355	1484
193	355	1478
194	356	1472
195	357	1466
196	358	1461
197	359	1455
198	360	1450
199	362	1448
200	363	1443
201	364	1439
202	365	1434
203	366	1430
204	367	1425
205	368	1419
206	369	1414
207	370	1408
208	370	1403
209	371	1397
210	372	1392
211	373	1387
212	374	1381
213	374	1376
214	375	1372
215	377	1368
216	377	1363
217	378	1358
218	379	1353
219	380	1348
220	381	1344
221	382	1339
222	382	1334
223	383	1329
224	384	1324
225	385	1319
226	386	1314
227	386	1310
228	387	1305
229	388	1301
230	389	1297
231	391	1297
232	392	1292
233	393	1287
234	394	1283
235	395	1279
236	396	1275
237	396	1270
238	397	1266
239	398	1261
240	399	1257
241	400	1253
242	400	1248
243	401	1245
244	403	1242
245	406	1247
246	408	1244
247	410	1243
248	411	1240
249	413	1241
250	415	1238
251	417	1240
252	419	1237
253	420	1234
254	421	1230
255	422	1226
256	422	1222
257	423	1219
258	424	1215
259	425	1211
260	426	1208
261	427	1204
262	428	1200
263	429	1196
264	429	1192
265	431	1190
266	432	1187
267	433	1184
268	434	1180
269	435	1176
270	435	1172
271	436	1168
272	437	1165
273	438	1161
274	439	1157
275	439	1154
276	440	1150
277	441	1146
278	442	1143
279	443	1139
280	443	1136
281	444	1132
282	445	1129
283	447	1127
284	447	1123
285	448	1120
286	449	1117
287	450	1113
288	451	1110
289	452	1107
290	453	1103
291	453	1100
292	454	1097
293	455	1093
294	456	1090
295	457	1087
296	457	1083
297	458	1080
298	459	1077
299	461	1076
300	462	1073
301	463	1070
302	463	1067
303	464	1064
304	465	1060
305	466	1057
306	467	1054
307	468	1051
308	468	1048
309	469	1045
310	470	1042
311	471	1039
312	472	1035
313	472	1032
314	473	1029
315	474	1026
316	475	1024
317	476	1022
318	477	1019
319	478	1017
320	479	1014
